,label,img_path,bord,phyllotaxie,type_feuille,ligneux
0,castanea,dataset_processed_v3/Train/castanea/191.jpg,dente,alterne,simple,oui
1,castanea,dataset_processed_v3/Train/castanea/42.jpg,dente,alterne,simple,oui
2,castanea,dataset_processed_v3/Train/castanea/40.jpg,dente,alterne,simple,oui
3,castanea,dataset_processed_v3/Train/castanea/190.jpg,dente,alterne,simple,oui
4,castanea,dataset_processed_v3/Train/castanea/91.jpg,dente,alterne,simple,oui
5,castanea,dataset_processed_v3/Train/castanea/173.jpg,dente,alterne,simple,oui
6,castanea,dataset_processed_v3/Train/castanea/90.jpg,dente,alterne,simple,oui
7,castanea,dataset_processed_v3/Train/castanea/castarea096.jpg,dente,alterne,simple,oui
8,castanea,dataset_processed_v3/Train/castanea/134.jpg,dente,alterne,simple,oui
9,castanea,dataset_processed_v3/Train/castanea/155.jpg,dente,alterne,simple,oui
10,castanea,dataset_processed_v3/Train/castanea/11.jpg,dente,alterne,simple,oui
11,castanea,dataset_processed_v3/Train/castanea/185.jpg,dente,alterne,simple,oui
12,castanea,dataset_processed_v3/Train/castanea/15.jpg,dente,alterne,simple,oui
13,castanea,dataset_processed_v3/Train/castanea/31.jpg,dente,alterne,simple,oui
14,castanea,dataset_processed_v3/Train/castanea/71.jpg,dente,alterne,simple,oui
15,castanea,dataset_processed_v3/Train/castanea/51.jpg,dente,alterne,simple,oui
16,castanea,dataset_processed_v3/Train/castanea/24.jpg,dente,alterne,simple,oui
17,castanea,dataset_processed_v3/Train/castanea/151.jpg,dente,alterne,simple,oui
18,castanea,dataset_processed_v3/Train/castanea/111.jpg,dente,alterne,simple,oui
19,castanea,dataset_processed_v3/Train/castanea/152.jpg,dente,alterne,simple,oui
20,castanea,dataset_processed_v3/Train/castanea/castarea100.jpg,dente,alterne,simple,oui
21,castanea,dataset_processed_v3/Train/castanea/95.jpg,dente,alterne,simple,oui
22,castanea,dataset_processed_v3/Train/castanea/32.jpg,dente,alterne,simple,oui
23,castanea,dataset_processed_v3/Train/castanea/183.jpg,dente,alterne,simple,oui
24,castanea,dataset_processed_v3/Train/castanea/142.jpg,dente,alterne,simple,oui
25,castanea,dataset_processed_v3/Train/castanea/195.jpg,dente,alterne,simple,oui
26,castanea,dataset_processed_v3/Train/castanea/73.jpg,dente,alterne,simple,oui
27,castanea,dataset_processed_v3/Train/castanea/135.jpg,dente,alterne,simple,oui
28,castanea,dataset_processed_v3/Train/castanea/82.jpg,dente,alterne,simple,oui
29,castanea,dataset_processed_v3/Train/castanea/castarea085.jpg,dente,alterne,simple,oui
30,castanea,dataset_processed_v3/Train/castanea/93.jpg,dente,alterne,simple,oui
31,castanea,dataset_processed_v3/Train/castanea/castarea082.jpg,dente,alterne,simple,oui
32,castanea,dataset_processed_v3/Train/castanea/122.jpg,dente,alterne,simple,oui
33,castanea,dataset_processed_v3/Train/castanea/41.jpg,dente,alterne,simple,oui
34,castanea,dataset_processed_v3/Train/castanea/164.jpg,dente,alterne,simple,oui
35,castanea,dataset_processed_v3/Train/castanea/105.jpg,dente,alterne,simple,oui
36,castanea,dataset_processed_v3/Train/castanea/74.jpg,dente,alterne,simple,oui
37,castanea,dataset_processed_v3/Train/castanea/20.jpg,dente,alterne,simple,oui
38,castanea,dataset_processed_v3/Train/castanea/castarea099.jpg,dente,alterne,simple,oui
39,castanea,dataset_processed_v3/Train/castanea/04.jpg,dente,alterne,simple,oui
40,castanea,dataset_processed_v3/Train/castanea/130.jpg,dente,alterne,simple,oui
41,castanea,dataset_processed_v3/Train/castanea/64.jpg,dente,alterne,simple,oui
42,castanea,dataset_processed_v3/Train/castanea/castarea091.jpg,dente,alterne,simple,oui
43,castanea,dataset_processed_v3/Train/castanea/80.jpg,dente,alterne,simple,oui
44,castanea,dataset_processed_v3/Train/castanea/castarea086.jpg,dente,alterne,simple,oui
45,castanea,dataset_processed_v3/Train/castanea/102.jpg,dente,alterne,simple,oui
